s1,s2,s3,s4,s5,total,obtained,percentage,grade
84,83,85,83,97,500,432,86.4,A
87,98,93,80,82,500,440,88.0,A
93,97,97,90,89,500,466,93.2,A+
84,95,90,95,97,500,461,92.2,A+
88,89,83,88,85,500,433,86.6,A
95,80,95,90,86,500,446,89.2,A
85,97,82,94,83,500,441,88.2,A
90,99,98,83,89,500,459,91.8,A+
89,92,83,94,82,500,440,88.0,A
99,85,87,98,82,500,451,90.2,A+
80,85,87,86,98,500,436,87.2,A
81,82,98,98,96,500,455,91.0,A+
81,97,83,92,99,500,452,90.4,A+
95,81,97,80,91,500,444,88.8,A
82,80,90,85,89,500,426,85.2,A
80,88,87,98,97,500,450,90.0,F
84,89,83,99,98,500,453,90.60000000000001,A+
92,91,86,82,91,500,442,88.4,A
84,93,99,85,90,500,451,90.2,A+
93,87,96,92,80,500,448,89.60000000000001,A
81,89,90,97,86,500,443,88.6,A
82,80,94,80,90,500,426,85.2,A
86,98,94,95,94,500,467,93.4,A+
91,98,83,93,83,500,448,89.60000000000001,A
97,96,81,88,98,500,460,92.0,A+
80,82,95,83,93,500,433,86.6,A
82,93,81,85,89,500,430,86.0,A
98,80,91,95,99,500,463,92.60000000000001,A+
84,89,80,82,95,500,430,86.0,A
95,82,84,86,81,500,428,85.6,A
91,86,88,91,98,500,454,90.8,A+
83,86,93,86,82,500,430,86.0,A
80,91,91,93,81,500,436,87.2,A
96,85,83,85,95,500,444,88.8,A
91,80,86,89,82,500,428,85.6,A
91,90,81,86,91,500,439,87.8,A
93,85,93,83,83,500,437,87.4,A
93,98,94,80,95,500,460,92.0,A+
94,81,97,87,99,500,458,91.60000000000001,A+
92,99,91,85,84,500,451,90.2,A+
90,85,93,93,85,500,446,89.2,A
86,83,83,95,95,500,442,88.4,A
98,84,85,87,87,500,441,88.2,A
82,99,95,94,84,500,454,90.8,A+
80,91,95,87,80,500,433,86.6,A
95,80,98,95,88,500,456,91.2,A+
94,92,84,87,99,500,456,91.2,A+
86,92,90,83,85,500,436,87.2,A
96,98,81,87,98,500,460,92.0,A+
94,84,88,97,94,500,457,91.4,A+
92,97,95,89,82,500,455,91.0,A+
83,91,85,97,99,500,455,91.0,A+
96,95,86,87,90,500,454,90.8,A+
89,90,82,87,84,500,432,86.4,A
93,92,92,90,89,500,456,91.2,A+
92,87,86,82,91,500,438,87.6,A
84,89,90,87,84,500,434,86.8,A
89,97,90,84,94,500,454,90.8,A+
92,97,95,92,83,500,459,91.8,A+
83,80,90,93,85,500,431,86.2,A
92,89,96,80,82,500,439,87.8,A
87,86,98,84,82,500,437,87.4,A
81,88,94,83,97,500,443,88.6,A
90,95,89,91,89,500,454,90.8,A+
99,82,88,82,80,500,431,86.2,A
85,90,82,91,99,500,447,89.4,A
89,95,90,93,87,500,454,90.8,A+
89,84,91,89,80,500,433,86.6,A
82,94,88,94,91,500,449,89.8,A
87,96,92,85,98,500,458,91.60000000000001,A+
89,94,89,96,85,500,453,90.60000000000001,A+
90,94,88,91,95,500,458,91.60000000000001,A+
94,80,82,99,92,500,447,89.4,A
84,88,91,88,85,500,436,87.2,A
82,98,93,82,93,500,448,89.60000000000001,A
84,96,97,83,81,500,441,88.2,A
97,89,92,93,87,500,458,91.60000000000001,A+
87,85,91,84,88,500,435,87.0,A
99,99,84,89,96,500,467,93.4,A+
92,87,80,92,98,500,449,89.8,A
84,86,82,86,96,500,434,86.8,A
99,92,91,98,98,500,478,95.6,A+
85,88,88,82,93,500,436,87.2,A
92,99,94,91,96,500,472,94.39999999999999,A+
90,90,94,94,86,500,454,90.8,A+
87,95,90,93,84,500,449,89.8,A
91,91,81,90,86,500,439,87.8,A
95,94,95,83,81,500,448,89.60000000000001,A
97,83,94,86,97,500,457,91.4,A+
92,80,88,83,83,500,426,85.2,A
86,80,91,87,82,500,426,85.2,A
95,84,93,90,97,500,459,91.8,A+
97,91,90,83,88,500,449,89.8,A
88,83,86,92,89,500,438,87.6,A
89,99,80,98,84,500,450,90.0,F
95,81,99,85,89,500,449,89.8,A
93,93,99,95,89,500,469,93.8,A+
89,99,95,86,98,500,467,93.4,A+
98,99,82,85,95,500,459,91.8,A+
88,93,81,89,90,500,441,88.2,A
88,88,98,95,90,500,459,91.8,A+
94,94,93,83,90,500,454,90.8,A+
90,82,88,80,91,500,431,86.2,A
81,93,89,87,80,500,430,86.0,A
95,88,82,90,83,500,438,87.6,A
83,81,84,98,85,500,431,86.2,A
92,83,83,86,87,500,431,86.2,A
84,99,93,86,93,500,455,91.0,A+
97,89,98,98,90,500,472,94.39999999999999,A+
96,94,91,89,91,500,461,92.2,A+
84,80,97,98,81,500,440,88.0,A
84,84,82,93,88,500,431,86.2,A
80,87,83,84,98,500,432,86.4,A
96,99,97,86,94,500,472,94.39999999999999,A+
96,90,92,94,94,500,466,93.2,A+
90,93,92,82,88,500,445,89.0,A
86,99,91,88,95,500,459,91.8,A+
94,96,83,97,95,500,465,93.0,A+
91,94,90,80,81,500,436,87.2,A
90,96,90,95,91,500,462,92.4,A+
88,87,82,80,90,500,427,85.39999999999999,A
94,81,88,80,88,500,431,86.2,A
91,84,89,84,93,500,441,88.2,A
80,81,82,93,90,500,426,85.2,A
95,87,86,98,88,500,454,90.8,A+
82,96,85,80,95,500,438,87.6,A
95,89,90,88,86,500,448,89.60000000000001,A
83,97,96,84,92,500,452,90.4,A+
98,89,87,98,97,500,469,93.8,A+
81,94,91,91,90,500,447,89.4,A
91,87,92,94,85,500,449,89.8,A
88,98,94,80,91,500,451,90.2,A+
88,91,98,99,80,500,456,91.2,A+
82,95,99,84,97,500,457,91.4,A+
81,96,84,90,81,500,432,86.4,A
96,95,91,82,93,500,457,91.4,A+
81,80,90,88,97,500,436,87.2,A
94,94,81,84,95,500,448,89.60000000000001,A
92,88,80,91,87,500,438,87.6,A
81,93,93,84,95,500,446,89.2,A
85,90,85,91,89,500,440,88.0,A
86,88,98,83,99,500,454,90.8,A+
85,95,93,83,87,500,443,88.6,A
84,83,94,95,93,500,449,89.8,A
88,86,92,96,87,500,449,89.8,A
81,80,82,95,92,500,430,86.0,A
87,90,99,96,90,500,462,92.4,A+
83,81,95,85,87,500,431,86.2,A
92,96,85,80,84,500,437,87.4,A
93,98,82,83,96,500,452,90.4,A+
93,96,97,89,86,500,461,92.2,A+
98,92,80,90,97,500,457,91.4,A+
85,98,90,82,90,500,445,89.0,A
86,83,92,95,83,500,439,87.8,A
93,99,85,81,91,500,449,89.8,A
96,86,82,99,83,500,446,89.2,A
86,90,99,92,89,500,456,91.2,A+
84,97,99,81,97,500,458,91.60000000000001,A+
88,87,80,91,97,500,443,88.6,A
80,87,83,90,86,500,426,85.2,A
90,80,86,81,99,500,436,87.2,A
82,96,91,98,81,500,448,89.60000000000001,A
96,91,81,88,94,500,450,90.0,F
94,82,86,95,94,500,451,90.2,A+
82,99,95,94,98,500,468,93.60000000000001,A+
86,95,92,86,90,500,449,89.8,A
98,83,85,98,85,500,449,89.8,A
92,93,85,97,88,500,455,91.0,A+
93,84,91,86,84,500,438,87.6,A
88,86,88,89,84,500,435,87.0,A
98,81,93,90,95,500,457,91.4,A+
80,95,85,91,91,500,442,88.4,A
85,86,82,80,88,500,421,84.2,A
87,97,95,93,89,500,461,92.2,A+
86,96,99,87,93,500,461,92.2,A+
94,99,93,92,89,500,467,93.4,A+
95,93,96,89,82,500,455,91.0,A+
81,80,97,94,80,500,432,86.4,A
91,85,97,80,88,500,441,88.2,A
80,86,85,83,97,500,431,86.2,A
87,86,95,96,87,500,451,90.2,A+
92,85,96,93,90,500,456,91.2,A+
83,95,83,88,95,500,444,88.8,A
82,84,94,85,93,500,438,87.6,A
81,92,91,96,86,500,446,89.2,A
98,83,84,91,89,500,445,89.0,A
94,82,87,81,89,500,433,86.6,A
95,82,85,86,85,500,433,86.6,A
84,92,84,86,89,500,435,87.0,A
80,84,90,80,95,500,429,85.8,A
80,89,94,89,90,500,442,88.4,A
98,96,81,84,94,500,453,90.60000000000001,A+
87,84,83,89,95,500,438,87.6,A
88,90,91,97,96,500,462,92.4,A+
99,81,96,88,95,500,459,91.8,A+
96,85,98,92,80,500,451,90.2,A+
83,96,91,92,96,500,458,91.60000000000001,A+
93,90,80,90,86,500,439,87.8,A
86,92,94,84,94,500,450,90.0,F
86,83,85,92,87,500,433,86.6,A
96,83,95,90,96,500,460,92.0,A+
83,84,87,81,94,500,429,85.8,A
91,87,89,91,85,500,443,88.6,A
87,93,80,81,91,500,432,86.4,A
84,99,82,92,97,500,454,90.8,A+
82,99,83,87,88,500,439,87.8,A
81,89,84,91,99,500,444,88.8,A
90,93,92,81,91,500,447,89.4,A
86,83,81,91,97,500,438,87.6,A
80,98,84,93,80,500,435,87.0,A
84,97,96,86,99,500,462,92.4,A+
91,82,98,94,80,500,445,89.0,A
90,83,86,88,82,500,429,85.8,A
98,87,86,94,99,500,464,92.80000000000001,A+
95,89,85,81,86,500,436,87.2,A
82,89,90,85,99,500,445,89.0,A
84,94,81,97,94,500,450,90.0,F
96,86,84,97,92,500,455,91.0,A+
83,98,92,99,95,500,467,93.4,A+
99,94,94,81,94,500,462,92.4,A+
96,83,90,91,89,500,449,89.8,A
87,98,87,87,99,500,458,91.60000000000001,A+
88,88,83,93,90,500,442,88.4,A
93,86,93,82,93,500,447,89.4,A
83,99,95,91,80,500,448,89.60000000000001,A
95,95,85,95,97,500,467,93.4,A+
86,95,87,96,90,500,454,90.8,A+
88,94,88,98,87,500,455,91.0,A+
82,96,97,81,94,500,450,90.0,F
92,89,96,90,90,500,457,91.4,A+
92,88,92,81,80,500,433,86.6,A
82,96,99,84,83,500,444,88.8,A
92,93,97,88,84,500,454,90.8,A+
99,95,80,94,80,500,448,89.60000000000001,A
96,98,90,85,99,500,468,93.60000000000001,A+
96,81,81,91,91,500,440,88.0,A
99,96,95,89,87,500,466,93.2,A+
88,94,98,99,99,500,478,95.6,A+
83,86,90,97,91,500,447,89.4,A
97,93,84,84,83,500,441,88.2,A
80,97,84,91,96,500,448,89.60000000000001,A
89,94,80,98,81,500,442,88.4,A
87,86,92,89,90,500,444,88.8,A
99,87,89,88,97,500,460,92.0,A+
82,80,80,94,88,500,424,84.8,A
88,88,95,82,86,500,439,87.8,A
98,92,81,99,82,500,452,90.4,A+
81,82,92,93,80,500,428,85.6,A
98,80,83,92,84,500,437,87.4,A
94,98,98,80,99,500,469,93.8,A+
84,87,87,98,82,500,438,87.6,A
81,91,86,97,91,500,446,89.2,A
94,92,91,96,88,500,461,92.2,A+
94,95,81,97,94,500,461,92.2,A+
93,94,94,95,98,500,474,94.8,A+
94,89,94,90,81,500,448,89.60000000000001,A
98,92,97,87,88,500,462,92.4,A+
97,85,89,85,83,500,439,87.8,A
86,89,95,87,98,500,455,91.0,A+
98,88,94,81,80,500,441,88.2,A
92,80,81,88,91,500,432,86.4,A
89,87,82,97,95,500,450,90.0,F
90,98,91,90,90,500,459,91.8,A+
98,91,93,88,99,500,469,93.8,A+
89,81,84,92,85,500,431,86.2,A
88,87,92,83,83,500,433,86.6,A
85,88,89,82,88,500,432,86.4,A
81,81,83,81,89,500,415,83.0,A
81,94,80,86,82,500,423,84.6,A
91,99,96,94,84,500,464,92.80000000000001,A+
83,81,85,94,98,500,441,88.2,A
94,96,86,85,92,500,453,90.60000000000001,A+
85,90,82,96,82,500,435,87.0,A
98,82,98,99,80,500,457,91.4,A+
86,96,89,96,97,500,464,92.80000000000001,A+
84,97,94,93,82,500,450,90.0,F
80,98,84,89,98,500,449,89.8,A
92,82,81,96,93,500,444,88.8,A
85,81,85,83,86,500,420,84.0,A
89,94,89,98,96,500,466,93.2,A+
82,92,93,85,97,500,449,89.8,A
91,99,89,92,83,500,454,90.8,A+
92,99,91,80,99,500,461,92.2,A+
98,92,96,84,85,500,455,91.0,A+
96,98,84,88,80,500,446,89.2,A
91,92,86,98,90,500,457,91.4,A+
96,82,96,92,80,500,446,89.2,A
97,89,89,87,83,500,445,89.0,A
93,84,97,87,82,500,443,88.6,A
81,96,96,84,84,500,441,88.2,A
80,97,97,88,99,500,461,92.2,A+
90,87,82,85,91,500,435,87.0,A
98,95,92,96,93,500,474,94.8,A+
94,92,90,87,93,500,456,91.2,A+
97,91,81,80,96,500,445,89.0,A
95,80,86,87,87,500,435,87.0,A
94,87,90,87,84,500,442,88.4,A
85,84,94,87,86,500,436,87.2,A
97,87,86,95,99,500,464,92.80000000000001,A+
99,90,95,98,95,500,477,95.39999999999999,A+
90,95,87,86,98,500,456,91.2,A+
97,91,90,95,98,500,471,94.19999999999999,A+
99,92,92,86,95,500,464,92.80000000000001,A+
82,98,94,84,95,500,453,90.60000000000001,A+
90,89,81,98,95,500,453,90.60000000000001,A+
83,97,89,85,94,500,448,89.60000000000001,A
84,84,92,89,91,500,440,88.0,A
94,93,97,94,83,500,461,92.2,A+
86,89,95,82,97,500,449,89.8,A
82,99,89,99,81,500,450,90.0,F
91,85,83,95,89,500,443,88.6,A
95,83,91,97,85,500,451,90.2,A+
97,99,82,94,95,500,467,93.4,A+
81,97,94,83,87,500,442,88.4,A
81,94,98,92,89,500,454,90.8,A+
92,86,91,99,93,500,461,92.2,A+
92,87,85,84,96,500,444,88.8,A
86,96,94,91,90,500,457,91.4,A+
87,87,95,80,95,500,444,88.8,A
97,84,98,91,90,500,460,92.0,A+
90,99,96,95,85,500,465,93.0,A+
83,84,86,95,96,500,444,88.8,A
86,94,96,89,80,500,445,89.0,A
82,98,91,83,93,500,447,89.4,A
95,95,83,83,93,500,449,89.8,A
87,83,85,92,87,500,434,86.8,A
93,95,95,97,99,500,479,95.8,A+
96,95,83,85,89,500,448,89.60000000000001,A
91,93,81,83,96,500,444,88.8,A
93,87,89,80,92,500,441,88.2,A
90,93,86,80,86,500,435,87.0,A
91,91,82,87,93,500,444,88.8,A
94,90,87,85,93,500,449,89.8,A
86,80,98,90,82,500,436,87.2,A
97,89,80,83,93,500,442,88.4,A
98,98,82,84,84,500,446,89.2,A
90,94,88,84,87,500,443,88.6,A
83,82,83,96,87,500,431,86.2,A
86,90,93,99,94,500,462,92.4,A+
84,88,80,84,89,500,425,85.0,A
92,98,93,88,96,500,467,93.4,A+
81,83,86,87,86,500,423,84.6,A
99,84,84,87,81,500,435,87.0,A
85,92,98,99,98,500,472,94.39999999999999,A+
85,86,83,88,80,500,422,84.39999999999999,A
96,94,99,81,86,500,456,91.2,A+
89,82,80,81,93,500,425,85.0,A
84,82,80,80,89,500,415,83.0,A
94,80,80,81,90,500,425,85.0,A
97,89,98,87,85,500,456,91.2,A+
94,81,81,89,95,500,440,88.0,A
93,92,90,83,82,500,440,88.0,A
94,81,90,86,87,500,438,87.6,A
87,82,93,83,93,500,438,87.6,A
83,93,96,99,89,500,460,92.0,A+
84,81,94,85,93,500,437,87.4,A
80,89,85,82,82,500,418,83.6,A
87,96,87,80,81,500,431,86.2,A
80,83,95,80,86,500,424,84.8,A
98,81,93,82,97,500,451,90.2,A+
83,86,83,88,92,500,432,86.4,A
95,96,80,90,86,500,447,89.4,A
81,96,88,81,86,500,432,86.4,A
95,90,86,93,82,500,446,89.2,A
87,84,92,96,91,500,450,90.0,F
85,82,95,83,83,500,428,85.6,A
93,93,80,92,81,500,439,87.8,A
80,93,92,88,94,500,447,89.4,A
99,98,97,80,83,500,457,91.4,A+
93,88,94,92,96,500,463,92.60000000000001,A+
88,91,99,85,83,500,446,89.2,A
95,83,93,82,91,500,444,88.8,A
87,99,83,93,94,500,456,91.2,A+
98,93,89,88,87,500,455,91.0,A+
98,95,83,92,90,500,458,91.60000000000001,A+
85,83,97,98,96,500,459,91.8,A+
87,88,86,86,95,500,442,88.4,A
90,94,81,96,91,500,452,90.4,A+
95,83,84,95,87,500,444,88.8,A
91,96,86,83,88,500,444,88.8,A
93,99,93,84,99,500,468,93.60000000000001,A+
83,92,81,96,86,500,438,87.6,A
95,88,94,85,84,500,446,89.2,A
88,90,89,88,85,500,440,88.0,A
97,96,88,93,85,500,459,91.8,A+
94,90,86,99,82,500,451,90.2,A+
82,95,94,91,81,500,443,88.6,A
90,90,92,93,96,500,461,92.2,A+
92,94,97,95,92,500,470,94.0,A+
96,99,96,92,87,500,470,94.0,A+
90,95,92,94,88,500,459,91.8,A+
80,81,95,94,89,500,439,87.8,A
93,82,88,91,87,500,441,88.2,A
96,95,86,81,81,500,439,87.8,A
90,86,87,91,94,500,448,89.60000000000001,A
97,96,87,99,80,500,459,91.8,A+
83,98,93,93,90,500,457,91.4,A+
80,81,93,97,87,500,438,87.6,A
86,97,93,93,94,500,463,92.60000000000001,A+
95,97,94,96,99,500,481,96.2,A+
91,80,97,98,90,500,456,91.2,A+
97,94,80,82,92,500,445,89.0,A
91,94,83,95,80,500,443,88.6,A
88,87,82,89,97,500,443,88.6,A
82,94,97,86,82,500,441,88.2,A
81,88,99,87,90,500,445,89.0,A
97,93,84,87,88,500,449,89.8,A
80,83,81,99,80,500,423,84.6,A
92,93,97,95,80,500,457,91.4,A+
83,98,95,99,98,500,473,94.6,A+
97,82,98,83,95,500,455,91.0,A+
95,93,81,97,97,500,463,92.60000000000001,A+
84,96,93,85,90,500,448,89.60000000000001,A
93,84,97,82,95,500,451,90.2,A+
91,92,85,94,80,500,442,88.4,A
92,80,91,86,98,500,447,89.4,A
83,87,87,86,86,500,429,85.8,A
80,83,97,93,95,500,448,89.60000000000001,A
81,99,91,86,85,500,442,88.4,A
90,99,92,82,95,500,458,91.60000000000001,A+
91,99,83,86,81,500,440,88.0,A
98,85,96,85,86,500,450,90.0,F
92,91,84,92,94,500,453,90.60000000000001,A+
94,93,97,81,97,500,462,92.4,A+
96,90,88,89,87,500,450,90.0,F
96,98,97,89,90,500,470,94.0,A+
89,94,98,94,82,500,457,91.4,A+
96,97,88,80,81,500,442,88.4,A
91,94,93,82,83,500,443,88.6,A
83,85,86,93,93,500,440,88.0,A
80,86,92,86,83,500,427,85.39999999999999,A
84,97,90,85,81,500,437,87.4,A
93,98,81,81,94,500,447,89.4,A
93,99,81,85,95,500,453,90.60000000000001,A+
82,99,98,91,82,500,452,90.4,A+
90,87,94,88,94,500,453,90.60000000000001,A+
89,92,82,92,99,500,454,90.8,A+
81,90,82,94,87,500,434,86.8,A
85,80,87,90,98,500,440,88.0,A
88,97,84,97,90,500,456,91.2,A+
96,83,97,85,93,500,454,90.8,A+
82,90,94,98,82,500,446,89.2,A
81,80,86,87,83,500,417,83.39999999999999,A
81,91,99,85,95,500,451,90.2,A+
87,84,88,82,98,500,439,87.8,A
89,88,87,86,93,500,443,88.6,A
94,96,91,85,91,500,457,91.4,A+
83,82,92,98,87,500,442,88.4,A
83,94,85,94,97,500,453,90.60000000000001,A+
99,81,88,85,93,500,446,89.2,A
87,89,98,91,92,500,457,91.4,A+
90,80,98,94,82,500,444,88.8,A
97,97,82,96,92,500,464,92.80000000000001,A+
96,88,89,87,91,500,451,90.2,A+
97,85,95,96,95,500,468,93.60000000000001,A+
87,80,83,84,98,500,432,86.4,A
99,87,83,90,88,500,447,89.4,A
88,86,97,91,89,500,451,90.2,A+
97,88,85,99,91,500,460,92.0,A+
85,85,96,96,93,500,455,91.0,A+
85,93,90,97,84,500,449,89.8,A
97,82,83,81,92,500,435,87.0,A
84,82,85,91,81,500,423,84.6,A
97,96,89,92,86,500,460,92.0,A+
88,84,92,97,81,500,442,88.4,A
90,81,86,81,86,500,424,84.8,A
95,98,82,83,83,500,441,88.2,A
94,99,87,94,88,500,462,92.4,A+
93,88,90,91,83,500,445,89.0,A
94,81,94,95,88,500,452,90.4,A+
85,90,88,91,95,500,449,89.8,A
96,86,85,89,89,500,445,89.0,A
87,82,83,80,84,500,416,83.2,A
82,84,92,83,86,500,427,85.39999999999999,A
99,99,86,98,88,500,470,94.0,A+
92,88,86,81,87,500,434,86.8,A
91,92,96,96,85,500,460,92.0,A+
86,83,91,91,87,500,438,87.6,A
99,89,99,93,87,500,467,93.4,A+
92,85,86,86,88,500,437,87.4,A
88,84,94,86,93,500,445,89.0,A
99,82,81,90,87,500,439,87.8,A
81,91,88,87,96,500,443,88.6,A
85,87,80,80,89,500,421,84.2,A
91,90,93,81,99,500,454,90.8,A+
92,86,97,93,85,500,453,90.60000000000001,A+
94,80,80,92,90,500,436,87.2,A
88,92,81,99,81,500,441,88.2,A
81,96,95,82,81,500,435,87.0,A
93,94,99,91,94,500,471,94.19999999999999,A+
84,92,81,99,83,500,439,87.8,A
85,97,92,81,84,500,439,87.8,A
85,88,88,82,95,500,438,87.6,A
88,84,94,80,88,500,434,86.8,A
83,84,88,80,89,500,424,84.8,A
98,90,84,98,81,500,451,90.2,A+
87,82,87,83,96,500,435,87.0,A
85,80,97,82,91,500,435,87.0,A
88,86,96,93,82,500,445,89.0,A
94,87,88,86,96,500,451,90.2,A+
88,97,91,97,93,500,466,93.2,A+
96,89,82,85,89,500,441,88.2,A
84,89,97,81,84,500,435,87.0,A
93,99,89,95,88,500,464,92.80000000000001,A+
87,84,95,96,81,500,443,88.6,A
94,82,81,92,89,500,438,87.6,A
82,90,84,84,98,500,438,87.6,A
83,94,84,94,98,500,453,90.60000000000001,A+
92,99,96,85,99,500,471,94.19999999999999,A+
91,91,81,95,83,500,441,88.2,A
80,99,89,99,89,500,456,91.2,A+
80,81,83,99,94,500,437,87.4,A
92,88,90,84,89,500,443,88.6,A
97,82,99,92,94,500,464,92.80000000000001,A+
82,80,98,83,82,500,425,85.0,A
92,93,95,97,81,500,458,91.60000000000001,A+
97,97,94,98,90,500,476,95.19999999999999,A+
85,81,84,81,89,500,420,84.0,A
84,96,95,95,94,500,464,92.80000000000001,A+
80,98,90,95,86,500,449,89.8,A
95,95,94,83,80,500,447,89.4,A
84,81,81,80,96,500,422,84.39999999999999,A
98,80,88,95,88,500,449,89.8,A
95,88,90,90,86,500,449,89.8,A
97,99,96,89,89,500,470,94.0,A+
97,99,81,92,81,500,450,90.0,F
97,91,81,86,87,500,442,88.4,A
99,94,98,83,91,500,465,93.0,A+
92,87,97,94,91,500,461,92.2,A+
86,94,87,83,87,500,437,87.4,A
98,93,89,80,87,500,447,89.4,A
86,93,97,82,85,500,443,88.6,A
98,99,82,88,84,500,451,90.2,A+
82,85,88,91,92,500,438,87.6,A
88,85,92,85,98,500,448,89.60000000000001,A
90,93,95,94,90,500,462,92.4,A+
85,96,97,88,82,500,448,89.60000000000001,A
89,89,84,98,88,500,448,89.60000000000001,A
92,80,88,87,90,500,437,87.4,A
92,86,80,80,84,500,422,84.39999999999999,A
86,89,82,92,96,500,445,89.0,A
90,80,85,85,84,500,424,84.8,A
99,81,85,94,92,500,451,90.2,A+
92,91,85,91,99,500,458,91.60000000000001,A+
81,93,84,81,89,500,428,85.6,A
81,98,89,84,86,500,438,87.6,A
93,97,93,87,86,500,456,91.2,A+
86,89,82,81,80,500,418,83.6,A
90,98,96,93,85,500,462,92.4,A+
84,99,90,97,91,500,461,92.2,A+
99,87,89,80,80,500,435,87.0,A
97,83,92,83,88,500,443,88.6,A
81,99,81,90,90,500,441,88.2,A
82,83,85,80,92,500,422,84.39999999999999,A
91,84,90,96,82,500,443,88.6,A
86,96,82,84,90,500,438,87.6,A
92,81,87,84,97,500,441,88.2,A
91,88,96,93,83,500,451,90.2,A+
96,88,85,90,84,500,443,88.6,A
86,98,97,90,89,500,460,92.0,A+
82,86,85,80,83,500,416,83.2,A
92,98,95,96,92,500,473,94.6,A+
83,83,80,93,94,500,433,86.6,A
85,97,82,80,93,500,437,87.4,A
97,89,84,81,82,500,433,86.6,A
87,90,96,90,87,500,450,90.0,F
80,83,98,97,80,500,438,87.6,A
95,91,99,96,92,500,473,94.6,A+
84,97,98,96,81,500,456,91.2,A+
90,91,90,96,98,500,465,93.0,A+
91,90,96,86,99,500,462,92.4,A+
99,86,94,93,84,500,456,91.2,A+
96,91,97,80,82,500,446,89.2,A
84,96,83,82,92,500,437,87.4,A
95,97,97,88,93,500,470,94.0,A+
81,87,83,92,81,500,424,84.8,A
83,94,98,99,99,500,473,94.6,A+
97,88,94,91,92,500,462,92.4,A+
85,83,84,99,80,500,431,86.2,A
80,80,87,99,99,500,445,89.0,A
81,87,81,83,84,500,416,83.2,A
91,91,96,89,86,500,453,90.60000000000001,A+
83,81,98,84,83,500,429,85.8,A
83,92,89,99,81,500,444,88.8,A
92,90,85,82,95,500,444,88.8,A
94,87,97,87,95,500,460,92.0,A+
99,93,98,94,89,500,473,94.6,A+
95,84,93,87,91,500,450,90.0,F
88,84,81,96,98,500,447,89.4,A
88,93,93,95,94,500,463,92.60000000000001,A+
95,81,97,99,89,500,461,92.2,A+
80,84,81,90,83,500,418,83.6,A
92,82,93,93,93,500,453,90.60000000000001,A+
89,94,95,90,90,500,458,91.60000000000001,A+
88,83,90,90,81,500,432,86.4,A
95,99,81,93,80,500,448,89.60000000000001,A
83,90,99,94,93,500,459,91.8,A+
98,82,93,93,90,500,456,91.2,A+
80,82,83,91,94,500,430,86.0,A
82,88,95,96,93,500,454,90.8,A+
92,81,98,92,80,500,443,88.6,A
84,91,99,82,82,500,438,87.6,A
92,93,98,86,93,500,462,92.4,A+
82,92,94,82,90,500,440,88.0,A
95,96,88,97,84,500,460,92.0,A+
84,94,96,87,80,500,441,88.2,A
98,98,87,96,80,500,459,91.8,A+
93,91,80,84,87,500,435,87.0,A
94,98,86,81,87,500,446,89.2,A
95,95,99,85,92,500,466,93.2,A+
93,89,94,90,85,500,451,90.2,A+
99,86,89,91,84,500,449,89.8,A
83,86,97,80,86,500,432,86.4,A
80,96,94,91,81,500,442,88.4,A
83,88,89,90,82,500,432,86.4,A
94,80,89,95,95,500,453,90.60000000000001,A+
80,89,90,91,92,500,442,88.4,A
87,88,99,86,94,500,454,90.8,A+
93,89,88,98,93,500,461,92.2,A+
87,98,91,82,89,500,447,89.4,A
80,88,91,90,97,500,446,89.2,A
91,96,85,81,80,500,433,86.6,A
97,85,91,95,94,500,462,92.4,A+
92,99,81,83,84,500,439,87.8,A
89,86,81,96,84,500,436,87.2,A
90,83,96,92,81,500,442,88.4,A
82,81,82,93,87,500,425,85.0,A
96,92,80,93,91,500,452,90.4,A+
85,82,82,81,92,500,422,84.39999999999999,A
83,91,95,80,93,500,442,88.4,A
85,94,98,83,86,500,446,89.2,A
84,94,98,97,90,500,463,92.60000000000001,A+
85,82,96,93,85,500,441,88.2,A
88,92,92,88,80,500,440,88.0,A
91,97,99,92,91,500,470,94.0,A+
91,92,96,90,96,500,465,93.0,A+
80,88,80,86,97,500,431,86.2,A
93,90,98,86,82,500,449,89.8,A
95,81,90,97,84,500,447,89.4,A
81,94,81,92,92,500,440,88.0,A
91,80,97,99,90,500,457,91.4,A+
96,80,89,94,98,500,457,91.4,A+
80,96,93,82,88,500,439,87.8,A
95,90,82,97,91,500,455,91.0,A+
82,88,87,99,96,500,452,90.4,A+
91,83,99,81,97,500,451,90.2,A+
99,91,99,83,98,500,470,94.0,A+
86,95,93,80,86,500,440,88.0,A
95,94,97,93,96,500,475,95.0,A+
95,96,88,83,85,500,447,89.4,A
84,88,88,83,84,500,427,85.39999999999999,A
95,82,85,93,84,500,439,87.8,A
87,92,82,91,80,500,432,86.4,A
97,91,80,95,99,500,462,92.4,A+
84,86,96,80,80,500,426,85.2,A
98,85,92,85,92,500,452,90.4,A+
86,92,87,83,82,500,430,86.0,A
85,80,98,92,94,500,449,89.8,A
95,94,98,99,96,500,482,96.39999999999999,A+
89,88,93,81,88,500,439,87.8,A
82,89,82,81,93,500,427,85.39999999999999,A
83,98,90,93,86,500,450,90.0,F
91,96,90,95,93,500,465,93.0,A+
80,80,93,93,90,500,436,87.2,A
97,98,82,80,94,500,451,90.2,A+
85,92,96,94,92,500,459,91.8,A+
81,83,83,93,92,500,432,86.4,A
