s1,s2,s3,s4,s5,marks obtained,marks_obtained,total
99,86,92,85,90,452,452,500
92,96,99,90,87,464,464,500
93,97,95,87,84,456,456,500
88,99,81,89,98,455,455,500
87,85,96,87,89,444,444,500
84,95,99,90,85,453,453,500
94,97,84,86,89,450,450,500
86,96,88,95,94,459,459,500
85,92,84,99,82,442,442,500
99,95,87,84,89,454,454,500
86,80,84,98,81,429,429,500
85,83,96,88,82,434,434,500
87,85,99,93,85,449,449,500
96,84,83,95,81,439,439,500
87,95,80,96,88,446,446,500
86,86,90,86,96,444,444,500
81,81,96,95,98,451,451,500
87,84,89,97,87,444,444,500
85,80,97,83,92,437,437,500
97,95,98,82,92,464,464,500
80,84,89,85,98,436,436,500
95,85,83,81,92,436,436,500
85,85,98,96,97,461,461,500
83,96,99,95,83,456,456,500
90,99,86,86,97,458,458,500
96,91,88,94,93,462,462,500
91,90,82,94,98,455,455,500
96,80,93,98,89,456,456,500
85,97,83,97,95,457,457,500
81,82,82,94,86,425,425,500
86,86,97,82,84,435,435,500
91,84,84,96,96,451,451,500
88,86,85,80,84,423,423,500
82,81,98,95,81,437,437,500
85,95,90,83,90,443,443,500
84,89,95,95,86,449,449,500
97,82,96,96,85,456,456,500
99,86,92,97,95,469,469,500
85,89,93,97,85,449,449,500
84,81,80,80,92,417,417,500
87,82,83,94,89,435,435,500
83,98,86,84,85,436,436,500
81,86,82,96,84,429,429,500
92,93,86,91,81,443,443,500
96,93,88,80,99,456,456,500
86,86,85,85,99,441,441,500
89,82,92,84,88,435,435,500
88,80,85,80,92,425,425,500
92,91,80,96,91,450,450,500
90,90,88,99,91,458,458,500
96,83,95,89,90,453,453,500
89,94,83,83,92,441,441,500
86,97,92,80,86,441,441,500
92,96,97,96,84,465,465,500
92,81,90,84,95,442,442,500
94,83,80,96,99,452,452,500
90,95,99,99,83,466,466,500
87,98,89,83,99,456,456,500
94,86,91,91,87,449,449,500
92,87,83,86,91,439,439,500
96,81,80,99,85,441,441,500
86,92,82,83,91,434,434,500
80,80,86,98,83,427,427,500
81,89,91,88,85,434,434,500
91,92,82,89,98,452,452,500
85,97,81,85,91,439,439,500
95,97,99,92,84,467,467,500
85,83,95,95,89,447,447,500
90,92,85,84,92,443,443,500
95,83,85,92,99,454,454,500
90,95,87,93,89,454,454,500
99,81,87,95,97,459,459,500
97,87,93,84,99,460,460,500
95,93,97,97,83,465,465,500
95,80,85,92,89,441,441,500
99,93,98,97,81,468,468,500
83,99,94,93,99,468,468,500
82,91,92,82,96,443,443,500
90,86,85,89,91,441,441,500
89,89,88,89,86,441,441,500
80,93,80,82,80,415,415,500
88,81,85,85,96,435,435,500
85,82,82,88,80,417,417,500
87,95,85,92,97,456,456,500
80,92,94,82,90,438,438,500
97,80,80,96,98,451,451,500
85,93,92,81,85,436,436,500
98,97,95,86,88,464,464,500
80,93,86,89,82,430,430,500
87,90,87,82,81,427,427,500
80,89,81,83,83,416,416,500
87,97,82,80,87,433,433,500
91,98,82,89,94,454,454,500
92,94,80,90,89,445,445,500
84,89,82,89,87,431,431,500
94,91,80,91,81,437,437,500
89,97,90,94,84,454,454,500
80,91,97,91,80,439,439,500
81,80,95,81,96,433,433,500
88,97,87,88,81,441,441,500
87,80,83,82,96,428,428,500
88,90,90,87,93,448,448,500
80,91,96,94,87,448,448,500
91,92,98,94,98,473,473,500
95,93,80,86,82,436,436,500
88,95,87,84,97,451,451,500
80,98,84,90,91,443,443,500
83,82,87,81,92,425,425,500
97,83,81,90,91,442,442,500
81,82,80,88,96,427,427,500
98,86,92,87,92,455,455,500
89,88,95,81,86,439,439,500
96,81,90,80,98,445,445,500
84,95,84,84,94,441,441,500
95,93,90,95,89,462,462,500
98,96,96,87,86,463,463,500
87,81,92,95,98,453,453,500
85,93,84,82,92,436,436,500
91,92,91,93,99,466,466,500
80,87,97,82,84,430,430,500
99,82,97,81,84,443,443,500
94,87,96,89,90,456,456,500
98,84,84,94,87,447,447,500
92,92,94,80,94,452,452,500
82,89,95,89,87,442,442,500
96,87,94,91,90,458,458,500
86,92,97,87,99,461,461,500
83,86,90,99,85,443,443,500
90,81,82,90,98,441,441,500
87,94,87,81,80,429,429,500
87,92,93,98,92,462,462,500
97,89,98,93,92,469,469,500
80,91,91,83,89,434,434,500
81,83,94,86,82,426,426,500
85,92,96,98,83,454,454,500
99,81,91,88,90,449,449,500
83,93,98,96,96,466,466,500
85,97,80,94,99,455,455,500
87,84,97,83,86,437,437,500
81,88,87,96,90,442,442,500
93,92,86,99,98,468,468,500
88,90,94,86,89,447,447,500
93,98,80,95,83,449,449,500
93,80,81,85,95,434,434,500
91,82,87,98,83,441,441,500
98,81,85,85,97,446,446,500
94,97,94,92,89,466,466,500
88,82,91,89,80,430,430,500
94,94,80,98,83,449,449,500
82,85,83,95,99,444,444,500
99,97,97,95,96,484,484,500
82,97,82,96,87,444,444,500
93,97,96,82,95,463,463,500
92,89,82,89,82,434,434,500
84,93,92,80,87,436,436,500
86,94,89,99,89,457,457,500
86,97,80,86,93,442,442,500
98,90,92,85,96,461,461,500
95,82,92,82,86,437,437,500
85,99,91,87,85,447,447,500
92,83,97,89,88,449,449,500
91,97,92,92,97,469,469,500
81,96,83,88,81,429,429,500
86,92,91,81,88,438,438,500
89,97,87,87,95,455,455,500
96,85,87,84,97,449,449,500
98,84,81,99,81,443,443,500
97,88,96,95,95,471,471,500
93,81,84,99,93,450,450,500
87,99,86,81,90,443,443,500
84,90,93,89,86,442,442,500
93,98,86,80,83,440,440,500
98,81,92,85,98,454,454,500
90,87,84,95,90,446,446,500
87,99,91,82,86,445,445,500
93,90,92,93,87,455,455,500
87,93,83,85,89,437,437,500
82,94,96,80,92,444,444,500
88,91,90,80,80,429,429,500
92,93,88,97,92,462,462,500
87,93,81,86,92,439,439,500
97,90,98,81,89,455,455,500
84,89,92,87,92,444,444,500
93,90,84,88,81,436,436,500
81,82,89,97,88,437,437,500
92,89,80,87,83,431,431,500
84,94,91,82,81,432,432,500
81,87,93,83,80,424,424,500
84,91,84,96,96,451,451,500
83,93,87,94,83,440,440,500
80,92,98,85,89,444,444,500
94,81,86,89,93,443,443,500
96,86,85,90,83,440,440,500
99,82,83,91,87,442,442,500
85,97,98,87,86,453,453,500
89,84,80,81,90,424,424,500
98,90,99,80,97,464,464,500
84,87,85,85,96,437,437,500
91,87,88,89,84,439,439,500
99,90,96,85,87,457,457,500
91,86,86,83,80,426,426,500
92,81,93,92,93,451,451,500
92,84,90,96,80,442,442,500
82,86,84,97,93,442,442,500
99,89,90,89,91,458,458,500
95,90,91,97,88,461,461,500
96,99,93,83,80,451,451,500
88,88,97,83,90,446,446,500
82,80,86,91,88,427,427,500
98,94,96,86,97,471,471,500
80,80,85,92,84,421,421,500
93,85,95,83,92,448,448,500
99,89,86,97,98,469,469,500
84,95,92,82,95,448,448,500
85,84,88,86,88,431,431,500
98,86,81,87,88,440,440,500
92,91,89,95,91,458,458,500
89,95,89,95,93,461,461,500
87,80,99,99,96,461,461,500
85,91,92,99,92,459,459,500
91,90,99,82,99,461,461,500
96,99,82,94,99,470,470,500
96,99,80,84,91,450,450,500
85,80,92,95,87,439,439,500
96,93,86,95,89,459,459,500
87,80,92,86,82,427,427,500
94,83,88,95,90,450,450,500
92,99,81,99,93,464,464,500
97,82,87,91,98,455,455,500
94,88,89,87,87,445,445,500
93,84,80,87,84,428,428,500
83,92,92,83,98,448,448,500
85,96,82,95,92,450,450,500
98,81,87,85,97,448,448,500
92,98,97,99,99,485,485,500
83,86,87,92,95,443,443,500
99,87,97,98,84,465,465,500
81,85,96,86,91,439,439,500
91,88,98,85,90,452,452,500
92,94,84,80,90,440,440,500
88,97,99,98,87,469,469,500
86,93,97,87,88,451,451,500
96,90,90,91,93,460,460,500
92,83,80,91,83,429,429,500
98,95,88,90,94,465,465,500
87,86,93,98,91,455,455,500
87,97,98,96,80,458,458,500
86,83,95,87,81,432,432,500
91,92,80,90,96,449,449,500
84,93,83,89,97,446,446,500
97,83,86,95,90,451,451,500
88,90,98,81,88,445,445,500
93,90,90,90,86,449,449,500
99,81,83,96,81,440,440,500
91,87,84,86,88,436,436,500
93,92,97,93,81,456,456,500
90,92,85,85,89,441,441,500
93,82,86,95,82,438,438,500
94,85,96,93,94,462,462,500
83,98,95,81,91,448,448,500
85,95,81,80,85,426,426,500
87,86,86,82,88,429,429,500
86,92,89,96,90,453,453,500
90,84,86,85,90,435,435,500
93,95,93,81,84,446,446,500
92,98,94,90,88,462,462,500
86,97,87,83,94,447,447,500
83,94,91,80,83,431,431,500
84,81,87,82,99,433,433,500
85,97,80,86,92,440,440,500
98,83,96,94,95,466,466,500
82,94,99,97,91,463,463,500
90,97,88,81,98,454,454,500
80,99,93,80,80,432,432,500
84,98,88,89,96,455,455,500
82,90,90,97,80,439,439,500
85,98,99,96,98,476,476,500
87,95,99,82,91,454,454,500
92,95,84,80,99,450,450,500
96,94,97,80,94,461,461,500
85,90,92,98,88,453,453,500
89,97,80,98,89,453,453,500
87,89,90,93,84,443,443,500
91,88,91,87,93,450,450,500
98,83,98,85,82,446,446,500
92,80,98,80,90,440,440,500
91,99,96,85,82,453,453,500
86,98,86,83,93,446,446,500
92,87,96,85,89,449,449,500
97,92,97,93,97,476,476,500
93,94,83,92,88,450,450,500
87,84,84,93,86,434,434,500
80,95,95,82,84,436,436,500
84,97,82,90,84,437,437,500
89,86,86,80,81,422,422,500
98,82,81,85,95,441,441,500
85,84,80,84,90,423,423,500
90,95,80,83,92,440,440,500
99,83,98,85,98,463,463,500
80,88,92,96,94,450,450,500
92,98,95,95,99,479,479,500
97,83,93,87,99,459,459,500
98,82,87,80,94,441,441,500
87,94,91,95,99,466,466,500
80,92,95,95,91,453,453,500
94,80,98,90,87,449,449,500
88,84,97,89,80,438,438,500
84,87,93,86,94,444,444,500
82,97,85,92,87,443,443,500
84,89,82,95,90,440,440,500
81,83,84,93,81,422,422,500
99,90,96,96,98,479,479,500
95,96,89,85,98,463,463,500
98,86,97,87,83,451,451,500
90,94,97,92,97,470,470,500
89,91,93,95,83,451,451,500
99,88,95,90,82,454,454,500
87,82,84,90,91,434,434,500
80,83,80,94,80,417,417,500
87,91,94,83,95,450,450,500
84,91,92,94,88,449,449,500
80,85,86,95,90,436,436,500
80,89,86,91,80,426,426,500
88,82,92,93,94,449,449,500
98,84,88,92,98,460,460,500
90,89,80,82,80,421,421,500
85,91,89,81,99,445,445,500
89,86,93,97,80,445,445,500
87,91,85,92,94,449,449,500
81,96,89,96,95,457,457,500
93,95,84,87,82,441,441,500
99,84,99,86,95,463,463,500
95,87,90,92,87,451,451,500
91,96,81,95,92,455,455,500
90,99,98,91,94,472,472,500
81,92,91,82,90,436,436,500
81,93,86,91,92,443,443,500
81,97,93,84,82,437,437,500
88,87,85,91,91,442,442,500
87,96,99,83,95,460,460,500
80,96,81,92,91,440,440,500
95,80,82,92,91,440,440,500
95,87,91,94,97,464,464,500
87,82,84,83,86,422,422,500
97,90,93,99,91,470,470,500
80,86,83,88,89,426,426,500
85,82,99,98,84,448,448,500
91,95,95,94,81,456,456,500
95,96,88,91,98,468,468,500
83,90,97,94,80,444,444,500
96,90,98,94,92,470,470,500
93,85,99,84,97,458,458,500
84,95,93,85,80,437,437,500
97,85,84,88,89,443,443,500
82,92,86,95,87,442,442,500
94,90,87,85,93,449,449,500
85,80,80,99,84,428,428,500
80,84,87,86,85,422,422,500
94,86,94,93,85,452,452,500
81,95,91,96,93,456,456,500
98,86,89,96,95,464,464,500
82,97,80,88,89,436,436,500
92,92,92,89,95,460,460,500
83,96,84,83,91,437,437,500
99,98,91,94,96,478,478,500
80,94,90,90,85,439,439,500
82,93,86,87,94,442,442,500
95,83,86,82,98,444,444,500
91,87,84,95,80,437,437,500
86,88,97,86,92,449,449,500
93,89,95,94,81,452,452,500
89,99,95,87,89,459,459,500
84,92,81,81,80,418,418,500
89,97,85,92,86,449,449,500
85,90,91,92,83,441,441,500
91,92,98,87,96,464,464,500
88,89,88,86,98,449,449,500
85,82,99,86,96,448,448,500
98,80,88,98,94,458,458,500
84,91,95,96,89,455,455,500
84,94,89,99,97,463,463,500
91,86,83,96,85,441,441,500
88,93,99,82,99,461,461,500
97,92,91,80,91,451,451,500
97,94,87,96,90,464,464,500
99,81,89,89,91,449,449,500
95,92,83,87,92,449,449,500
92,82,87,98,98,457,457,500
93,85,98,94,81,451,451,500
88,97,95,81,97,458,458,500
92,96,96,80,80,444,444,500
83,87,92,95,80,437,437,500
97,94,83,84,95,453,453,500
93,84,86,88,83,434,434,500
90,99,96,89,99,473,473,500
83,97,87,83,98,448,448,500
88,95,92,91,83,449,449,500
99,98,80,97,84,458,458,500
89,84,87,93,80,433,433,500
85,86,81,81,94,427,427,500
95,99,90,91,91,466,466,500
93,89,88,93,93,456,456,500
84,80,94,88,99,445,445,500
97,89,89,85,88,448,448,500
85,88,90,83,98,444,444,500
87,92,87,97,97,460,460,500
90,89,84,94,97,454,454,500
94,97,95,97,81,464,464,500
82,81,90,86,95,434,434,500
85,99,97,87,81,449,449,500
85,92,93,98,93,461,461,500
89,84,92,84,83,432,432,500
93,83,81,85,88,430,430,500
97,88,91,92,93,461,461,500
96,80,95,85,90,446,446,500
96,95,98,94,93,476,476,500
94,87,82,95,90,448,448,500
87,95,95,89,99,465,465,500
80,95,82,88,97,442,442,500
94,98,95,92,89,468,468,500
89,80,84,94,97,444,444,500
87,88,82,88,90,435,435,500
97,85,91,80,93,446,446,500
93,98,85,99,87,462,462,500
99,88,88,83,83,441,441,500
82,94,84,88,88,436,436,500
80,91,81,97,97,446,446,500
80,91,95,89,92,447,447,500
89,88,92,86,96,451,451,500
93,81,92,84,83,433,433,500
97,90,90,94,99,470,470,500
82,92,82,90,87,433,433,500
93,82,96,84,81,436,436,500
90,95,81,84,86,436,436,500
84,83,84,90,81,422,422,500
84,91,95,82,86,438,438,500
84,82,83,99,92,440,440,500
80,84,82,86,93,425,425,500
88,97,94,86,95,460,460,500
97,82,90,98,89,456,456,500
97,82,95,96,99,469,469,500
93,99,81,91,90,454,454,500
92,85,81,80,96,434,434,500
88,97,80,97,92,454,454,500
85,96,85,97,94,457,457,500
83,91,95,97,95,461,461,500
95,84,97,82,97,455,455,500
81,96,92,83,87,439,439,500
93,81,83,95,89,441,441,500
87,81,95,87,90,440,440,500
86,81,90,89,94,440,440,500
99,82,89,95,99,464,464,500
95,80,97,82,89,443,443,500
89,97,92,81,80,439,439,500
90,96,97,87,99,469,469,500
89,85,86,86,99,445,445,500
85,91,87,88,97,448,448,500
95,99,81,92,83,450,450,500
96,85,95,92,99,467,467,500
84,83,85,83,97,432,432,500
87,98,93,80,82,440,440,500
93,97,97,90,89,466,466,500
84,95,90,95,97,461,461,500
88,89,83,88,85,433,433,500
95,80,95,90,86,446,446,500
85,97,82,94,83,441,441,500
90,99,98,83,89,459,459,500
89,92,83,94,82,440,440,500
99,85,87,98,82,451,451,500
80,85,87,86,98,436,436,500
81,82,98,98,96,455,455,500
81,97,83,92,99,452,452,500
95,81,97,80,91,444,444,500
82,80,90,85,89,426,426,500
80,88,87,98,97,450,450,500
84,89,83,99,98,453,453,500
92,91,86,82,91,442,442,500
84,93,99,85,90,451,451,500
93,87,96,92,80,448,448,500
81,89,90,97,86,443,443,500
82,80,94,80,90,426,426,500
86,98,94,95,94,467,467,500
91,98,83,93,83,448,448,500
97,96,81,88,98,460,460,500
80,82,95,83,93,433,433,500
82,93,81,85,89,430,430,500
98,80,91,95,99,463,463,500
84,89,80,82,95,430,430,500
95,82,84,86,81,428,428,500
91,86,88,91,98,454,454,500
83,86,93,86,82,430,430,500
80,91,91,93,81,436,436,500
96,85,83,85,95,444,444,500
91,80,86,89,82,428,428,500
91,90,81,86,91,439,439,500
93,85,93,83,83,437,437,500
93,98,94,80,95,460,460,500
94,81,97,87,99,458,458,500
92,99,91,85,84,451,451,500
90,85,93,93,85,446,446,500
86,83,83,95,95,442,442,500
98,84,85,87,87,441,441,500
82,99,95,94,84,454,454,500
80,91,95,87,80,433,433,500
95,80,98,95,88,456,456,500
94,92,84,87,99,456,456,500
86,92,90,83,85,436,436,500
96,98,81,87,98,460,460,500
94,84,88,97,94,457,457,500
92,97,95,89,82,455,455,500
83,91,85,97,99,455,455,500
96,95,86,87,90,454,454,500
89,90,82,87,84,432,432,500
93,92,92,90,89,456,456,500
92,87,86,82,91,438,438,500
84,89,90,87,84,434,434,500
89,97,90,84,94,454,454,500
92,97,95,92,83,459,459,500
83,80,90,93,85,431,431,500
92,89,96,80,82,439,439,500
87,86,98,84,82,437,437,500
81,88,94,83,97,443,443,500
90,95,89,91,89,454,454,500
99,82,88,82,80,431,431,500
85,90,82,91,99,447,447,500
89,95,90,93,87,454,454,500
89,84,91,89,80,433,433,500
82,94,88,94,91,449,449,500
87,96,92,85,98,458,458,500
89,94,89,96,85,453,453,500
90,94,88,91,95,458,458,500
94,80,82,99,92,447,447,500
84,88,91,88,85,436,436,500
82,98,93,82,93,448,448,500
84,96,97,83,81,441,441,500
97,89,92,93,87,458,458,500
87,85,91,84,88,435,435,500
99,99,84,89,96,467,467,500
92,87,80,92,98,449,449,500
84,86,82,86,96,434,434,500
99,92,91,98,98,478,478,500
85,88,88,82,93,436,436,500
92,99,94,91,96,472,472,500
90,90,94,94,86,454,454,500
87,95,90,93,84,449,449,500
91,91,81,90,86,439,439,500
95,94,95,83,81,448,448,500
97,83,94,86,97,457,457,500
92,80,88,83,83,426,426,500
86,80,91,87,82,426,426,500
95,84,93,90,97,459,459,500
97,91,90,83,88,449,449,500
88,83,86,92,89,438,438,500
89,99,80,98,84,450,450,500
95,81,99,85,89,449,449,500
93,93,99,95,89,469,469,500
89,99,95,86,98,467,467,500
98,99,82,85,95,459,459,500
88,93,81,89,90,441,441,500
88,88,98,95,90,459,459,500
94,94,93,83,90,454,454,500
90,82,88,80,91,431,431,500
81,93,89,87,80,430,430,500
95,88,82,90,83,438,438,500
83,81,84,98,85,431,431,500
92,83,83,86,87,431,431,500
84,99,93,86,93,455,455,500
97,89,98,98,90,472,472,500
96,94,91,89,91,461,461,500
84,80,97,98,81,440,440,500
84,84,82,93,88,431,431,500
80,87,83,84,98,432,432,500
96,99,97,86,94,472,472,500
96,90,92,94,94,466,466,500
90,93,92,82,88,445,445,500
86,99,91,88,95,459,459,500
94,96,83,97,95,465,465,500
91,94,90,80,81,436,436,500
90,96,90,95,91,462,462,500
88,87,82,80,90,427,427,500
94,81,88,80,88,431,431,500
91,84,89,84,93,441,441,500
80,81,82,93,90,426,426,500
95,87,86,98,88,454,454,500
82,96,85,80,95,438,438,500
95,89,90,88,86,448,448,500
83,97,96,84,92,452,452,500
98,89,87,98,97,469,469,500
81,94,91,91,90,447,447,500
91,87,92,94,85,449,449,500
88,98,94,80,91,451,451,500
88,91,98,99,80,456,456,500
82,95,99,84,97,457,457,500
81,96,84,90,81,432,432,500
96,95,91,82,93,457,457,500
81,80,90,88,97,436,436,500
94,94,81,84,95,448,448,500
92,88,80,91,87,438,438,500
81,93,93,84,95,446,446,500
85,90,85,91,89,440,440,500
86,88,98,83,99,454,454,500
85,95,93,83,87,443,443,500
84,83,94,95,93,449,449,500
88,86,92,96,87,449,449,500
81,80,82,95,92,430,430,500
87,90,99,96,90,462,462,500
83,81,95,85,87,431,431,500
92,96,85,80,84,437,437,500
93,98,82,83,96,452,452,500
93,96,97,89,86,461,461,500
98,92,80,90,97,457,457,500
85,98,90,82,90,445,445,500
86,83,92,95,83,439,439,500
93,99,85,81,91,449,449,500
96,86,82,99,83,446,446,500
86,90,99,92,89,456,456,500
84,97,99,81,97,458,458,500
88,87,80,91,97,443,443,500
80,87,83,90,86,426,426,500
90,80,86,81,99,436,436,500
82,96,91,98,81,448,448,500
96,91,81,88,94,450,450,500
94,82,86,95,94,451,451,500
82,99,95,94,98,468,468,500
86,95,92,86,90,449,449,500
98,83,85,98,85,449,449,500
92,93,85,97,88,455,455,500
93,84,91,86,84,438,438,500
88,86,88,89,84,435,435,500
98,81,93,90,95,457,457,500
80,95,85,91,91,442,442,500
85,86,82,80,88,421,421,500
87,97,95,93,89,461,461,500
86,96,99,87,93,461,461,500
94,99,93,92,89,467,467,500
95,93,96,89,82,455,455,500
81,80,97,94,80,432,432,500
91,85,97,80,88,441,441,500
80,86,85,83,97,431,431,500
87,86,95,96,87,451,451,500
92,85,96,93,90,456,456,500
83,95,83,88,95,444,444,500
82,84,94,85,93,438,438,500
81,92,91,96,86,446,446,500
98,83,84,91,89,445,445,500
94,82,87,81,89,433,433,500
95,82,85,86,85,433,433,500
84,92,84,86,89,435,435,500
80,84,90,80,95,429,429,500
80,89,94,89,90,442,442,500
98,96,81,84,94,453,453,500
87,84,83,89,95,438,438,500
88,90,91,97,96,462,462,500
99,81,96,88,95,459,459,500
96,85,98,92,80,451,451,500
83,96,91,92,96,458,458,500
93,90,80,90,86,439,439,500
86,92,94,84,94,450,450,500
86,83,85,92,87,433,433,500
96,83,95,90,96,460,460,500
83,84,87,81,94,429,429,500
91,87,89,91,85,443,443,500
87,93,80,81,91,432,432,500
84,99,82,92,97,454,454,500
82,99,83,87,88,439,439,500
81,89,84,91,99,444,444,500
90,93,92,81,91,447,447,500
86,83,81,91,97,438,438,500
80,98,84,93,80,435,435,500
84,97,96,86,99,462,462,500
91,82,98,94,80,445,445,500
90,83,86,88,82,429,429,500
98,87,86,94,99,464,464,500
95,89,85,81,86,436,436,500
82,89,90,85,99,445,445,500
84,94,81,97,94,450,450,500
96,86,84,97,92,455,455,500
83,98,92,99,95,467,467,500
99,94,94,81,94,462,462,500
96,83,90,91,89,449,449,500
87,98,87,87,99,458,458,500
88,88,83,93,90,442,442,500
93,86,93,82,93,447,447,500
83,99,95,91,80,448,448,500
95,95,85,95,97,467,467,500
86,95,87,96,90,454,454,500
88,94,88,98,87,455,455,500
82,96,97,81,94,450,450,500
92,89,96,90,90,457,457,500
92,88,92,81,80,433,433,500
82,96,99,84,83,444,444,500
92,93,97,88,84,454,454,500
99,95,80,94,80,448,448,500
96,98,90,85,99,468,468,500
96,81,81,91,91,440,440,500
99,96,95,89,87,466,466,500
88,94,98,99,99,478,478,500
83,86,90,97,91,447,447,500
97,93,84,84,83,441,441,500
80,97,84,91,96,448,448,500
89,94,80,98,81,442,442,500
87,86,92,89,90,444,444,500
99,87,89,88,97,460,460,500
82,80,80,94,88,424,424,500
88,88,95,82,86,439,439,500
98,92,81,99,82,452,452,500
81,82,92,93,80,428,428,500
98,80,83,92,84,437,437,500
94,98,98,80,99,469,469,500
84,87,87,98,82,438,438,500
81,91,86,97,91,446,446,500
94,92,91,96,88,461,461,500
94,95,81,97,94,461,461,500
93,94,94,95,98,474,474,500
94,89,94,90,81,448,448,500
98,92,97,87,88,462,462,500
97,85,89,85,83,439,439,500
86,89,95,87,98,455,455,500
98,88,94,81,80,441,441,500
92,80,81,88,91,432,432,500
89,87,82,97,95,450,450,500
90,98,91,90,90,459,459,500
98,91,93,88,99,469,469,500
89,81,84,92,85,431,431,500
88,87,92,83,83,433,433,500
85,88,89,82,88,432,432,500
81,81,83,81,89,415,415,500
81,94,80,86,82,423,423,500
91,99,96,94,84,464,464,500
83,81,85,94,98,441,441,500
94,96,86,85,92,453,453,500
85,90,82,96,82,435,435,500
98,82,98,99,80,457,457,500
86,96,89,96,97,464,464,500
84,97,94,93,82,450,450,500
80,98,84,89,98,449,449,500
92,82,81,96,93,444,444,500
85,81,85,83,86,420,420,500
89,94,89,98,96,466,466,500
82,92,93,85,97,449,449,500
91,99,89,92,83,454,454,500
92,99,91,80,99,461,461,500
98,92,96,84,85,455,455,500
96,98,84,88,80,446,446,500
91,92,86,98,90,457,457,500
96,82,96,92,80,446,446,500
97,89,89,87,83,445,445,500
93,84,97,87,82,443,443,500
81,96,96,84,84,441,441,500
80,97,97,88,99,461,461,500
90,87,82,85,91,435,435,500
98,95,92,96,93,474,474,500
94,92,90,87,93,456,456,500
97,91,81,80,96,445,445,500
95,80,86,87,87,435,435,500
94,87,90,87,84,442,442,500
85,84,94,87,86,436,436,500
97,87,86,95,99,464,464,500
99,90,95,98,95,477,477,500
90,95,87,86,98,456,456,500
97,91,90,95,98,471,471,500
99,92,92,86,95,464,464,500
82,98,94,84,95,453,453,500
90,89,81,98,95,453,453,500
83,97,89,85,94,448,448,500
84,84,92,89,91,440,440,500
94,93,97,94,83,461,461,500
86,89,95,82,97,449,449,500
82,99,89,99,81,450,450,500
91,85,83,95,89,443,443,500
95,83,91,97,85,451,451,500
97,99,82,94,95,467,467,500
81,97,94,83,87,442,442,500
81,94,98,92,89,454,454,500
92,86,91,99,93,461,461,500
92,87,85,84,96,444,444,500
86,96,94,91,90,457,457,500
87,87,95,80,95,444,444,500
97,84,98,91,90,460,460,500
90,99,96,95,85,465,465,500
83,84,86,95,96,444,444,500
86,94,96,89,80,445,445,500
82,98,91,83,93,447,447,500
95,95,83,83,93,449,449,500
87,83,85,92,87,434,434,500
93,95,95,97,99,479,479,500
96,95,83,85,89,448,448,500
91,93,81,83,96,444,444,500
93,87,89,80,92,441,441,500
90,93,86,80,86,435,435,500
91,91,82,87,93,444,444,500
94,90,87,85,93,449,449,500
86,80,98,90,82,436,436,500
97,89,80,83,93,442,442,500
98,98,82,84,84,446,446,500
90,94,88,84,87,443,443,500
83,82,83,96,87,431,431,500
86,90,93,99,94,462,462,500
84,88,80,84,89,425,425,500
92,98,93,88,96,467,467,500
81,83,86,87,86,423,423,500
99,84,84,87,81,435,435,500
85,92,98,99,98,472,472,500
85,86,83,88,80,422,422,500
96,94,99,81,86,456,456,500
89,82,80,81,93,425,425,500
84,82,80,80,89,415,415,500
94,80,80,81,90,425,425,500
97,89,98,87,85,456,456,500
94,81,81,89,95,440,440,500
93,92,90,83,82,440,440,500
94,81,90,86,87,438,438,500
87,82,93,83,93,438,438,500
83,93,96,99,89,460,460,500
84,81,94,85,93,437,437,500
80,89,85,82,82,418,418,500
87,96,87,80,81,431,431,500
80,83,95,80,86,424,424,500
98,81,93,82,97,451,451,500
83,86,83,88,92,432,432,500
95,96,80,90,86,447,447,500
81,96,88,81,86,432,432,500
95,90,86,93,82,446,446,500
87,84,92,96,91,450,450,500
85,82,95,83,83,428,428,500
93,93,80,92,81,439,439,500
80,93,92,88,94,447,447,500
99,98,97,80,83,457,457,500
93,88,94,92,96,463,463,500
88,91,99,85,83,446,446,500
95,83,93,82,91,444,444,500
87,99,83,93,94,456,456,500
98,93,89,88,87,455,455,500
98,95,83,92,90,458,458,500
85,83,97,98,96,459,459,500
87,88,86,86,95,442,442,500
90,94,81,96,91,452,452,500
95,83,84,95,87,444,444,500
91,96,86,83,88,444,444,500
93,99,93,84,99,468,468,500
83,92,81,96,86,438,438,500
95,88,94,85,84,446,446,500
88,90,89,88,85,440,440,500
97,96,88,93,85,459,459,500
94,90,86,99,82,451,451,500
82,95,94,91,81,443,443,500
90,90,92,93,96,461,461,500
92,94,97,95,92,470,470,500
96,99,96,92,87,470,470,500
90,95,92,94,88,459,459,500
80,81,95,94,89,439,439,500
93,82,88,91,87,441,441,500
96,95,86,81,81,439,439,500
90,86,87,91,94,448,448,500
97,96,87,99,80,459,459,500
83,98,93,93,90,457,457,500
80,81,93,97,87,438,438,500
86,97,93,93,94,463,463,500
95,97,94,96,99,481,481,500
91,80,97,98,90,456,456,500
97,94,80,82,92,445,445,500
91,94,83,95,80,443,443,500
88,87,82,89,97,443,443,500
82,94,97,86,82,441,441,500
81,88,99,87,90,445,445,500
97,93,84,87,88,449,449,500
80,83,81,99,80,423,423,500
92,93,97,95,80,457,457,500
83,98,95,99,98,473,473,500
97,82,98,83,95,455,455,500
95,93,81,97,97,463,463,500
84,96,93,85,90,448,448,500
93,84,97,82,95,451,451,500
